"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Diagnose LogicalModel FHIR Mapping","Mapping: RIM Mapping"
"Diagnose","Diagnose","","","",0,*,"","","","null {[]} {[]}
","Das Basismodul Diagnosen enthält Diagnosen als Behandlungsbegründungen und abrechnungsbasiertes Gliederungsmerkmal, z.B. als Hauptdiagnose, Nebendiagnose, Quartalsdiagnose etc.","Logische Repräsentation des Basismoduls Diagnose","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Diagnose.KlinischRelevanterZeitraum.Zeitraum.id","Diagnose.KlinischRelevanterZeitraum.Zeitraum.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.KlinischRelevanterZeitraum.Zeitraum.extension","Diagnose.KlinischRelevanterZeitraum.Zeitraum.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.KlinischRelevanterZeitraum.Zeitraum.modifierExtension","Diagnose.KlinischRelevanterZeitraum.Zeitraum.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.KlinischRelevanterZeitraum.Zeitraum.von","Diagnose.KlinischRelevanterZeitraum.Zeitraum.von","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum","Startdatum","","","","","","","","","",,,,,"",,,,"Diagnose.KlinischRelevanterZeitraum.Zeitraum.von",0,1,"","","Condition.onsetPeriod.start"
"Diagnose.KlinischRelevanterZeitraum.Zeitraum.bis","Diagnose.KlinischRelevanterZeitraum.Zeitraum.bis","","","",0,1,"","","","dateTime {[]} {[]}
","Enddatum","Enddatum","","","","","","","","","",,,,,"",,,,"Diagnose.KlinischRelevanterZeitraum.Zeitraum.bis",0,1,"","","Condition.onsetPeriod.end"
"Diagnose.KlinischRelevanterZeitraum.Lebensphase","Diagnose.KlinischRelevanterZeitraum.Lebensphase","","","",0,*,"","","","BackboneElement {[]} {[]}
","Lebensphase","Lebensphase, in der die Erkrankung aufgetreten ist","","","","","","","","","",,,,,"",,,,"Diagnose.KlinischRelevanterZeitraum.Lebensphase",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Diagnose.KlinischRelevanterZeitraum.Lebensphase.id","Diagnose.KlinischRelevanterZeitraum.Lebensphase.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Diagnose.KlinischRelevanterZeitraum.Lebensphase.extension","Diagnose.KlinischRelevanterZeitraum.Lebensphase.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Diagnose.KlinischRelevanterZeitraum.Lebensphase.modifierExtension","Diagnose.KlinischRelevanterZeitraum.Lebensphase.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"Diagnose.KlinischRelevanterZeitraum.Lebensphase.von","Diagnose.KlinischRelevanterZeitraum.Lebensphase.von","","","",0,1,"","","","code {[]} {[]}
","In welcher Lebensphase die Krankheit began","In welcher Lebensphase die Krankheit began","","","","","","","","","",,,,,"",,,,"Diagnose.KlinischRelevanterZeitraum.Lebensphase.von",0,1,"","","Condition.onsetPeriod.start.extension('http://fhir.de/StructureDefinition/lebensphase').valueCodeableConcept"
"Diagnose.KlinischRelevanterZeitraum.Lebensphase.bis","Diagnose.KlinischRelevanterZeitraum.Lebensphase.bis","","","",0,1,"","","","code {[]} {[]}
","In welcher Lebensphase die Krankheit endete","In welcher Lebensphase die Krankheit endete","","","","","","","","","",,,,,"",,,,"Diagnose.KlinischRelevanterZeitraum.Lebensphase.bis",0,1,"","","Condition.onsetPeriod.end.extension('http://fhir.de/StructureDefinition/lebensphase').valueCodeableConcept"
"Diagnose.Feststellungsdatum","Diagnose.Feststellungsdatum","","","",0,1,"","","","date {[]} {[]}
","Feststellungsdatum / Diagnosedatum","Das Datum ist der Zeitpunkt, an dem eine Krankheit z. B. durch einen Arzt festgestellt wurde. Dies wird im Folgenden mit Diagnosedatum bezeichnet.","","","","","","","","","",,,,,"",,,,"Diagnose.Feststellungsdatum",0,1,"","","Condition.extension('http://hl7.org/fhir/StructureDefinition/condition-assertedDate').valueDateTime"
"Diagnose.Dokumentationsdatum","Diagnose.Dokumentationsdatum","","","",1,1,"","","","date {[]} {[]}
","Dokumentationsdatum","Das Datum ist der Zeitpunkt, an dem eine Krankheit z. B. durch einen Arzt dokumentiert wurde. Hinweis: Wenn zwischen Feststellung der Diagnose und Dokumentationsdatum nicht unterschieden werden muss, ist das Datum der Feststellung der Diagnose (Diagnosedatum) anzugeben.","","","","","","","","","",,,,,"",,,,"Diagnose.Dokumentationsdatum",1,1,"","","Condition.recordedDate"
